csv
Day,Meal,Food
Monday,Breakfast,Oatmeal with seasonal fruits (e.g., apples, pears)
Monday,Lunch,Grilled chicken salad with mixed greens and olive oil dressing
Monday,Dinner,Baked salmon with roasted seasonal vegetables (e.g., zucchini, bell peppers)
Monday,Snack,Nuts and seeds
Tuesday,Breakfast,Smoothie with spinach, banana, and yogurt
Tuesday,Lunch,Quinoa salad with chickpeas, tomatoes, and cucumber
Tuesday,Dinner,Stir-fried vegetables with tofu and brown rice
Tuesday,Snack,Whole grain crackers with hummus
Wednesday,Breakfast,Greek yogurt with honey and walnuts
Wednesday,Lunch,Turkey sandwich on whole grain bread with lettuce and tomato
Wednesday,Dinner,Grilled shrimp with asparagus and quinoa
Wednesday,Snack,Fruit (e.g., orange, kiwi)
Thursday,Breakfast,Chia pudding with almond milk and berries
Thursday,Lunch,Lentil soup with whole grain bread
Thursday,Dinner,Stuffed bell peppers with ground beef and rice
Thursday,Snack,Carrot sticks with guacamole
Friday,Breakfast,Whole grain toast with avocado and poached egg
Friday,Lunch,Spinach and feta cheese salad with walnuts
Friday,Dinner,Baked cod with sweet potatoes and green beans
Friday,Snack,Dried fruits
Saturday,Breakfast,Pancakes made with whole grain flour and topped with seasonal fruits
Saturday,Lunch,Vegetable paella
Saturday,Dinner,Grilled chicken with a side of roasted Brussels sprouts
Saturday,Snack,Yogurt with granola
Sunday,Breakfast,Smoothie bowl with various toppings (e.g., nuts, seeds, fruits)
Sunday,Lunch,Chickpea and vegetable stew
Sunday,Dinner,Roasted lamb with seasonal root vegetables
Sunday,Snack,Popcorn
