
"Day","Meal","Food Item","Serving Size (g)","Calories","Fats (g)","Carbohydrates (g)","Sugars (g)","Proteins (g)","Calcium (%DV)","Iron (%DV)","Potassium (%DV)","Fiber (g)"
"Monday","Breakfast","Quinoa Porridge with Honey and Bananas","200","350","6","60","15","10","8","4","10","5"
"Monday","Snack 1","Almonds","30","174","15","6","1","6","6","6","5","3"
"Monday","Snack 2","Carrot Sticks with Hummus","100","150","8","20","10","5","5","4","5","3"
"Monday","Lunch","Chickpea Salad with Spinach and Olive Oil","250","400","20","50","10","15","15","10","15","8"
"Monday","Snack 3","Pomegranate Seeds","100","83","1","18","12","0","1","2","4","4"
"Monday","Dinner","Grilled Fish with Zucchini and Tomatoes","200","350","15","20","10","5","30","2","10","4"
"Total Calories for Monday","Total","-","-","1387","-","-","-","-","-","-","-","-"
"Tuesday","Breakfast","Fava Bean Falafel with Salad","200","400","10","60","15","5","20","6","10","8"
"Tuesday","Snack 1","Dates","50","142","0","38","36","0","1","2","4","4"
"Tuesday","Snack 2","Cucumber Slices with Hummus","100","150","8","20","10","5","5","4","5","3"
"Tuesday","Lunch","Lentil Soup with Carrots and Spinach","300","250","5","40","5","5","15","8","15","10"
"Tuesday","Snack 3","Banana","100","89","0","23","12","10","1","2","5","3"
"Tuesday","Dinner","Stuffed Eggplant with Quinoa and Nuts","250","450","20","50","30","10","15","4","15","6"
"Total Calories for Tuesday","Total","-","-","1431","-","-","-","-","-","-","-","-"
"Wednesday","Breakfast","Smoothie with Spinach, Banana, and Almond Milk","300","250","5","45","20","15","5","4","10","5"
"Wednesday","Snack 1","Almonds","30","174","15","6","1","6","6","6","5","3"
"Wednesday","Snack 2","Apple Slices with Almond Butter","150","200","10","20","15","10","5","6","5","4"
"Wednesday","Lunch","Quinoa Salad with Bell Peppers and Olive Oil","250","400","20","50","10","5","15","6","10","8"
"Wednesday","Snack 3","Pomegranate Seeds","100","83","1","18","12","0","1","2","4","4"
"Wednesday","Dinner","Baked Sweet Potato with Chickpeas","300","350","15","60","15","5","15","4","10","8"
"Total Calories for Wednesday","Total","-","-","1427","-","-","-","-","-","-","-","-"
"Thursday","Breakfast","Oatmeal with Dates and Almonds","200","350","15","50","20","10","10","4","10","5"
"Thursday","Snack 1","Banana","100","89","0","23","12","10","1","2","5","3"
"Thursday","Snack 2","Carrot and Celery Sticks","100","50","0","12","6","5","1","2","5","2"
"Thursday","Lunch","Grilled Vegetable Salad with Olive Oil","250","300","15","30","10","5","10","4","10","6"
"Thursday","Snack 3","Almonds","30","174","15","6","1","6","6","6","5","3"
"Thursday","Dinner","Fish Tacos with Lettuce and Tomato","200","400","20","30","20","5","30","2","10","4"
"Total Calories for Thursday","Total","-","-","1363","-","-","-","-","-","-","-","-"
"Friday","Breakfast","Chickpea Pancakes with Spinach","200","350","10","50","20","5","15","6","10","5"
"Friday","Snack 1","Almonds","30","174","15","6","1","6","6","6","5","3"
"Friday","Snack 2","Pomegranate Seeds","100","83","1","18","12","0","1","2","4","4"
"Friday","Lunch","Lentil and Quinoa Bowl with Vegetables","300","400","15","60","15","5","20","8","15","10"
"Friday","Snack 3","Dates","50","142","0","38","36","0","1","2","4","4"
"Friday","Dinner","Stuffed Peppers with Rice and Nuts","250","450","20","50","30","10","15","4","15","6"
"Total Calories for Friday","Total","-","-","1579","-","-","-","-","-","-","-","-"
"Saturday","Breakfast","Smoothie with Spinach, Banana, and Almond Milk","300","250","5","45","20","15","5","4","10","5"
"Saturday","Snack 1","Cucumber Slices with Hummus","100","150","8","20","10","5","5","4","5","3"
"Saturday","Snack 2","Almonds","30","174","15","6","1","6","6","6","5","3"
"Saturday","Lunch","Quinoa Salad with Bell Peppers and Olive Oil","250","400","20","50","10","5","15","6","10","8"
"Saturday","Snack 3","Apple Slices with Almond Butter","150","200","10","20","15","10","5","6","5","4"
"Saturday","Dinner","Baked Sweet Potato with Chickpeas","300","350","15","60","15","5","15","4","10","8"
"Total Calories for Saturday","Total","-","-","1424","-","-","-","-","-","-","-","-"
"Sunday","Breakfast","Oatmeal with Dates and Almonds","200","350","15","50","20","10","10","4","10","5"
"Sunday","Snack 1","Banana","100","89","0","23","12","10","1","2","5","3"
"Sunday","Snack 2","Carrot and Celery Sticks","100","50","0","12","6","5","1","2","5","2"
"Sunday","Lunch","Grilled Vegetable Salad with Olive Oil","250","300","15","30","10","5","10","4","10","6"
"Sunday","Snack 3","Pomegranate Seeds","100","83","1","18","12","0","1","2","4","4"
"Sunday","Dinner","Fish Tacos with Lettuce and Tomato","200","400","20","30","20","5","30","2","10","4"
"Total Calories for Sunday","Total","-","-","1272","-","-","-","-","-","-","-","-"
