
Day,Meal,Food Items,Calories,Protein (g),Carbohydrates (g),Fat (g)
Monday,Breakfast,Spinach and Paneer Paratha with Yogurt,350,15,45,10
Monday,Lunch,Chickpea Salad with Carrots and Cucumber,300,12,40,8
Monday,Dinner,Grilled Chicken with Broccoli and Brown Rice,450,30,50,15
Tuesday,Breakfast,Oatmeal with Banana and Honey,300,8,60,5
Tuesday,Lunch,Lentil Soup with Spinach and Whole Wheat Bread,400,20,60,10
Tuesday,Dinner,Stir-fried Fish with Green Beans and Quinoa,500,35,45,20
Wednesday,Breakfast,Curd with Pomegranate and Nuts,250,10,30,8
Wednesday,Lunch,Vegetable Biryani with Raita,500,15,75,15
Wednesday,Dinner,Stuffed Bell Peppers with Chickpeas,400,18,60,10
Thursday,Breakfast,Vegetable Upma with Coconut Chutney,350,10,50,10
Thursday,Lunch,Paneer Tikka with Mixed Salad,450,25,30,20
Thursday,Dinner,Roasted Sweet Potatoes and Cauliflower,400,10,70,10
Friday,Breakfast,Poha with Peas and Lemon,300,8,50,5
Friday,Lunch,Quinoa Salad with Guava and Nuts,400,12,60,15
Friday,Dinner,Chicken Curry with Brown Rice,500,30,60,20
Saturday,Breakfast,Idli with Sambar and Coconut Chutney,350,10,50,10
Saturday,Lunch,Vegetable Khichdi with Curd,450,15,70,10
Saturday,Dinner,Grilled Fish with Roasted Vegetables,500,35,45,20
Sunday,Breakfast,Masala Dosa with Potato Filling and Chutney,400,10,60,15
Sunday,Lunch,Chickpea and Spinach Curry with Rice,500,20,70,15
Sunday,Dinner,Stuffed Sweet Potatoes with Yogurt,400,15,60,10
