
Day,Meal,Food Item
Monday,Breakfast,Oatmeal with almond milk, chia seeds, and berries
Monday,Lunch,Grilled chicken salad with mixed greens, cherry tomatoes, and vinaigrette
Monday,Dinner,Baked salmon with quinoa and steamed broccoli
Monday,Snack,Greek yogurt with a handful of walnuts
Tuesday,Breakfast,Smoothie with spinach, protein powder, banana, and almond milk
Tuesday,Lunch,Tuna salad with avocado, cucumber, and whole grain crackers
Tuesday,Dinner,Stir-fried tofu with mixed vegetables and brown rice
Tuesday,Snack,Carrot sticks with hummus
Wednesday,Breakfast,Egg omelet with spinach, mushrooms, and feta cheese
Wednesday,Lunch,Turkey wrap with whole grain tortilla, lettuce, and tomato
Wednesday,Dinner,Grilled shrimp with sweet potato and asparagus
Wednesday,Snack,Cottage cheese with sliced peaches
Thursday,Breakfast,Quinoa porridge with almond butter and sliced banana
Thursday,Lunch,Chickpea salad with bell peppers, cucumber, and lemon dressing
Thursday,Dinner,Beef stir-fry with broccoli and brown rice
Thursday,Snack,Apple slices with peanut butter
Friday,Breakfast,Whole grain toast with avocado and poached eggs
Friday,Lunch,Grilled vegetable and hummus wrap
Friday,Dinner,Baked chicken thighs with roasted Brussels sprouts and quinoa
Friday,Snack,Protein shake with almond milk
Saturday,Breakfast,Chia pudding with almond milk and mixed berries
Saturday,Lunch,Salmon salad with mixed greens and balsamic dressing
Saturday,Dinner,Lentil soup with whole grain bread
Saturday,Snack,Hard-boiled eggs
Sunday,Breakfast,Protein pancakes with fresh fruit
Sunday,Lunch,Quinoa and black bean salad with lime dressing
Sunday,Dinner,Stuffed bell peppers with ground turkey and brown rice
Sunday,Snack,Trail mix with nuts and seeds
