
Day,Meal,Food Item
Monday,Breakfast,Oatmeal with berries and a sprinkle of cinnamon
Monday,Lunch,Grilled chicken salad with mixed greens and vinaigrette
Monday,Dinner,Baked salmon with steamed broccoli and quinoa
Monday,Snack,Greek yogurt with a few almonds
Tuesday,Breakfast,Smoothie with spinach, banana, and unsweetened almond milk
Tuesday,Lunch,Turkey and avocado wrap in a whole grain tortilla
Tuesday,Dinner,Stir-fried tofu with mixed vegetables and brown rice
Tuesday,Snack,Carrot sticks with hummus
Wednesday,Breakfast,Whole grain toast with avocado and poached egg
Wednesday,Lunch,Quinoa salad with black beans, corn, and diced peppers
Wednesday,Dinner,Grilled shrimp with asparagus and sweet potato
Wednesday,Snack,Sliced apple with peanut butter
Thursday,Breakfast,Chia seed pudding with almond milk and berries
Thursday,Lunch,Lentil soup with a side of whole grain bread
Thursday,Dinner,Roasted chicken with Brussels sprouts and brown rice
Thursday,Snack,Cucumber slices with tzatziki
Friday,Breakfast,Greek yogurt parfait with granola and mixed fruit
Friday,Lunch,Spinach salad with chickpeas, feta, and lemon dressing
Friday,Dinner,Baked cod with green beans and quinoa
Friday,Snack,Handful of walnuts
Saturday,Breakfast,Scrambled eggs with spinach and tomatoes
Saturday,Lunch,Vegetable stir-fry with tofu and brown rice
Saturday,Dinner,Turkey meatballs with zucchini noodles and marinara sauce
Saturday,Snack,Bell pepper slices with guacamole
Sunday,Breakfast,Whole grain pancakes with fresh fruit
Sunday,Lunch,Chicken Caesar salad with light dressing
Sunday,Dinner,Stuffed bell peppers with ground turkey and quinoa
Sunday,Snack,Dark chocolate square (70% cocoa or higher)
