
Day,Meal,Food,Calories,Protein (g),Carbohydrates (g),Fats (g)
Monday,Breakfast,Spinach and Paneer Paratha,300,15,40,10
Monday,Lunch,Chickpea Salad with Carrots and Beets,350,18,45,12
Monday,Dinner,Quinoa with Mustard Greens and Yogurt,400,20,50,15
Tuesday,Breakfast,Guava Smoothie with Yogurt,250,10,35,5
Tuesday,Lunch,Broccoli and Cauliflower Stir-fry with Brown Rice,400,15,60,10
Tuesday,Dinner,Stuffed Sweet Potatoes with Lentils,450,25,70,8
Wednesday,Breakfast,Oatmeal with Almonds and Banana,300,10,50,8
Wednesday,Lunch,Spinach and Chickpea Curry with Rice,400,20,60,10
Wednesday,Dinner,Vegetable Soup with Whole Wheat Bread,350,15,45,5
Thursday,Breakfast,Pomegranate and Yogurt Bowl,250,10,30,5
Thursday,Lunch,Quinoa Salad with Green Peas and Carrots,400,15,55,10
Thursday,Dinner,Paneer Tikka with Mixed Vegetables,450,25,40,15
Friday,Breakfast,Coconut Chia Pudding,300,8,40,15
Friday,Lunch,Mustard Greens and Chickpea Stew,400,20,50,10
Friday,Dinner,Stir-fried Tofu with Broccoli and Rice,450,25,60,12
Saturday,Breakfast,Apple and Almond Butter Toast,300,10,40,10
Saturday,Lunch,Lentil Soup with Spinach,350,18,45,5
Saturday,Dinner,Vegetable Biryani with Raita,500,20,70,15
Sunday,Breakfast,Orange and Yogurt Parfait,250,10,30,5
Sunday,Lunch,Stuffed Bell Peppers with Quinoa,400,15,55,10
Sunday,Dinner,Chickpea and Vegetable Curry with Rice,450,25,60,12
