
Day,Meal,Food,Calories,Carbohydrates (g),Protein (g),Fat (g)
Monday,Breakfast,Oatmeal with walnuts and apple slices,300,45,10,10
Monday,Lunch,Grilled chicken salad with spinach and bell peppers,350,20,30,15
Monday,Dinner,Stir-fried tofu with broccoli and garlic,400,30,25,20
Tuesday,Breakfast,Smoothie with spinach, pear, and ginger,250,40,5,5
Tuesday,Lunch,Quinoa with roasted sweet potatoes and mushrooms,400,60,15,10
Tuesday,Dinner,Baked fish with cabbage and carrots,350,25,30,10
Wednesday,Breakfast,Chia pudding with red dates and almond milk,300,40,8,12
Wednesday,Lunch,Lentil soup with garlic and green onions,350,50,20,5
Wednesday,Dinner,Chicken stir-fry with Chinese kale and bell peppers,400,30,35,15
Thursday,Breakfast,Whole grain toast with avocado and boiled egg,300,30,12,15
Thursday,Lunch,Stuffed bell peppers with quinoa and vegetables,350,45,15,10
Thursday,Dinner,Grilled chicken with steamed broccoli and sweet potatoes,400,40,30,10
Friday,Breakfast,Smoothie with oats, apple, and spinach,300,50,10,5
Friday,Lunch,Tofu salad with mixed greens and walnuts,350,20,20,20
Friday,Dinner,Baked fish with cauliflower and ginger,400,25,30,15
Saturday,Breakfast,Oatmeal with chestnuts and pear,300,45,10,10
Saturday,Lunch,Quinoa salad with roasted vegetables,400,60,15,10
Saturday,Dinner,Stir-fried chicken with mushrooms and cabbage,350,30,30,10
Sunday,Breakfast,Chia pudding with pomegranate and almond milk,300,40,8,12
Sunday,Lunch,Lentil salad with spinach and red dates,350,50,20,5
Sunday,Dinner,Grilled tofu with broccoli and carrots,400,30,25,20
