
Day,Meal,Food Item
Monday,Breakfast,Oats with milk and banana
Monday,Lunch,Grilled chicken with mixed vegetable salad
Monday,Dinner,Lentil soup with whole wheat bread
Tuesday,Breakfast,Yogurt with honey and nuts
Tuesday,Lunch,Rice with chickpeas and spinach
Tuesday,Dinner,Steamed vegetables with tofu
Wednesday,Breakfast,Smoothie with spinach, banana, and yogurt
Wednesday,Lunch,Beef kebab with salad and flatbread
Wednesday,Dinner,Vegetable curry with rice
Thursday,Breakfast,Boiled eggs with whole grain toast
Thursday,Lunch,Quinoa salad with tomatoes and cucumbers
Thursday,Dinner,Chicken stew with carrots and potatoes
Friday,Breakfast,Porridge with apple and cinnamon
Friday,Lunch,Baked fish with sautéed greens and rice
Friday,Dinner,Stuffed bell peppers with rice and lentils
Saturday,Breakfast,Chia pudding with fruit
Saturday,Lunch,Vegetable pilaf with yogurt
Saturday,Dinner,Grilled lamb with roasted vegetables
Sunday,Breakfast,Whole grain pancakes with honey
Sunday,Lunch,Chicken and vegetable soup
Sunday,Dinner,Vegetable stir-fry with noodles
