
Day,Meal,Food,Calories,Protein (g),Carbs (g),Fat (g)
Monday,Breakfast,Oatmeal with Apples and Almonds,350,10,60,12
Monday,Lunch,Quinoa Salad with Spinach, Chickpeas and Olive Oil,450,15,65,18
Monday,Dinner,Grilled Chicken with Broccoli and Sweet Potatoes,500,40,50,15
Monday,Snack,Yogurt with Pomegranate,150,5,25,3
Tuesday,Breakfast,Smoothie with Spinach, Kiwi and Pear,300,5,60,5
Tuesday,Lunch,Lentil Soup with Carrots and Garlic,400,20,60,10
Tuesday,Dinner,Baked Salmon with Zucchini and Quinoa,550,35,45,20
Tuesday,Snack,Walnuts,200,5,4,20
Wednesday,Breakfast,Whole Grain Toast with Tomato and Olive Oil,350,8,40,15
Wednesday,Lunch,Stuffed Bell Peppers with Rice and Lentils,450,15,70,10
Wednesday,Dinner,Stir-fried Tofu with Cauliflower and Carrots,500,25,45,20
Wednesday,Snack,Figs,150,2,35,0
Thursday,Breakfast,Yogurt with Grapes and Almonds,300,10,40,10
Thursday,Lunch,Chickpea Salad with Cucumbers and Olive Oil,400,15,50,15
Thursday,Dinner,Grilled Shrimp with Spinach and Sweet Potatoes,500,30,45,15
Thursday,Snack,Orange,80,1,20,0
Friday,Breakfast,Oatmeal with Pears and Walnuts,350,10,60,12
Friday,Lunch,Quinoa Bowl with Roasted Seasonal Vegetables,450,15,65,18
Friday,Dinner,Beef Stir-fry with Broccoli and Bell Peppers,550,40,45,20
Friday,Snack,Kiwis,100,2,25,0
Saturday,Breakfast,Smoothie with Banana and Spinach,300,5,60,5
Saturday,Lunch,Lentil Salad with Carrots and Olive Oil,400,20,60,10
Saturday,Dinner,Grilled Chicken with Zucchini and Quinoa,500,40,50,15
Saturday,Snack,Pomegranate,150,2,35,0
Sunday,Breakfast,Whole Grain Pancakes with Apples,350,8,60,10
Sunday,Lunch,Vegetable Soup with Chickpeas,400,15,60,10
Sunday,Dinner,Baked Cod with Sweet Potatoes and Spinach,500,35,45,15
Sunday,Snack,Almonds,200,5,4,20
